id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,"192.168.1.78","a4:fc:77:76:38:fb","a4:fc:77",42471,"192.168.1.254","00:06:91:d8:44:2f","00:06:91",53,17,4,0,0,1699133513826,1699133513842,16,2,236,1699133513826,1699133513826,0,1,85,1699133513842,1699133513842,0,1,151,"DNS.Google","Network",0,6,"lh5.googleusercontent.com","","","",""
1,0,"192.168.1.78","a4:fc:77:76:38:fb","a4:fc:77",44655,"192.168.1.254","00:06:91:d8:44:2f","00:06:91",53,17,4,0,0,1699133513826,1699133513842,16,2,280,1699133513826,1699133513826,0,1,85,1699133513842,1699133513842,0,1,195,"DNS.Google","Network",0,6,"lh5.googleusercontent.com","","","",""
2,0,"192.168.1.78","a4:fc:77:76:38:fb","a4:fc:77",55065,"192.168.1.254","00:06:91:d8:44:2f","00:06:91",53,17,4,0,0,1699133513884,1699133513914,30,2,176,1699133513884,1699133513884,0,1,74,1699133513914,1699133513914,0,1,102,"DNS.Google","Network",0,6,"www.google.com","","","",""
3,0,"192.168.1.78","a4:fc:77:76:38:fb","a4:fc:77",38217,"192.168.1.254","00:06:91:d8:44:2f","00:06:91",53,17,4,0,0,1699133513884,1699133513914,30,2,173,1699133513884,1699133513884,0,1,74,1699133513914,1699133513914,0,1,99,"DNS.Google","Network",0,6,"www.google.com","","","",""
4,0,"192.168.1.65","aa:15:c1:83:da:48","aa:15:c1",57526,"255.255.255.255","ff:ff:ff:ff:ff:ff","ff:ff:ff",28591,17,4,0,0,1699133512905,1699133512905,0,1,576,1699133512905,1699133512905,0,1,576,0,0,0,0,0,"Unknown","Unspecified",0,0,"","","","",""
5,0,"192.168.1.78","a4:fc:77:76:38:fb","a4:fc:77",34049,"192.168.1.254","00:06:91:d8:44:2f","00:06:91",53,17,4,0,0,1699133513842,1699133513853,11,2,252,1699133513842,1699133513842,0,1,96,1699133513853,1699133513853,0,1,156,"DNS.Google","Network",0,6,"googlehosted.l.googleusercontent.com","","","",""
6,0,"2001:8a0:c78c:6700:bc89:a21d:eee0:2872","a4:fc:77:76:38:fb","a4:fc:77",59911,"2a00:1450:4003:80f::2001","00:06:91:d8:44:2f","00:06:91",443,17,6,0,0,1699133513848,1699133514206,358,311,312870,1699133513848,1699133514186,338,72,9857,1699133513871,1699133514206,335,239,303013,"QUIC.Google","Web",0,6,"lh5.googleusercontent.com","18cc0169a62a1919f8b08d3233a3cb2a","","",""
7,0,"192.168.1.78","a4:fc:77:76:38:fb","a4:fc:77",59723,"192.168.1.254","00:06:91:d8:44:2f","00:06:91",53,17,4,0,0,1699133513884,1699133513914,30,2,164,1699133513884,1699133513884,0,1,74,1699133513914,1699133513914,0,1,90,"DNS.Google","Network",0,6,"www.google.com","","","",""
8,0,"192.168.1.65","aa:15:c1:83:da:48","aa:15:c1",5353,"224.0.0.251","01:00:5e:00:00:fb","01:00:5e",5353,17,4,0,0,1699133514440,1699133675207,160767,14,1973,1699133514440,1699133675207,160767,14,1973,0,0,0,0,0,"MDNS","Network",0,6,"_meshcop._udp.local","","","",""
9,0,"192.168.1.78","a4:fc:77:76:38:fb","a4:fc:77",42096,"192.168.1.254","00:06:91:d8:44:2f","00:06:91",53,17,4,0,0,1699133516202,1699133516211,9,2,263,1699133516202,1699133516202,0,1,94,1699133516211,1699133516211,0,1,169,"DNS.Instagram","Network",0,6,"z-p42-instagram.c10r.instagram.com","","","",""
